Algorithm,Size,Type,Comparisons,Moves,Time (s)
Selection,10,random,45,10,9.846900002230542e-06
Selection,10,sorted,45,10,8.789866675821638e-06
Selection,10,reversed,45,10,1.0068200011422352e-05
Selection,100,random,4950,100,0.0009642482000041734
Selection,100,sorted,4950,100,0.0005816662666726795
Selection,100,reversed,4950,100,0.0007585882666717225
Selection,500,random,124750,500,0.011412166833323075
Selection,500,sorted,124750,500,0.014239108299989311
Selection,500,reversed,124750,500,0.015090632766638615
Selection,700,random,244650,700,0.02245474843334705
Selection,700,sorted,244650,700,0.021476577233344566
Selection,700,reversed,244650,700,0.02353104629998294
Bubble,10,random,45,21.766666666666666,7.311166655199486e-06
Bubble,10,sorted,45,0,5.633533328364138e-06
Bubble,10,reversed,45,45,9.267633352768219e-06
Bubble,100,random,4950,2473.3333333333335,0.0010165202333534277
Bubble,100,sorted,4950,0,0.0005824417666569086
Bubble,100,reversed,4950,4950,0.00140287596663408
Bubble,500,random,124750,62356.63333333333,0.018134436933329803
Bubble,500,sorted,124750,0,0.011292261899992202
Bubble,500,reversed,124750,124750,0.025253979466659377
Bubble,700,random,244650,121838.43333333333,0.04819501066668484
Bubble,700,sorted,244650,0,0.024079650599969683
Bubble,700,reversed,244650,244650,0.05279328200000085
Insertion-swaps,10,random,29.133333333333333,21.966666666666665,8.668799993453529e-06
Insertion-swaps,10,sorted,9,0,3.159366648712118e-06
Insertion-swaps,10,reversed,45,45,2.782646665764332e-05
Insertion-swaps,100,random,2562.9333333333334,2467.3,0.0008044374333242861
Insertion-swaps,100,sorted,99,0,2.979373336226369e-05
Insertion-swaps,100,reversed,4950,4950,0.0015170135333240373
Insertion-swaps,500,random,63269.166666666664,62775.833333333336,0.013852423699995597
Insertion-swaps,500,sorted,499,0,5.371603331999116e-05
Insertion-swaps,500,reversed,124750,124750,0.028040286833311258
Insertion-swaps,700,random,122896.33333333333,122204.23333333334,0.03209636140000687
Insertion-swaps,700,sorted,699,0,0.00012103989998498339
Insertion-swaps,700,reversed,244650,244650,0.060104503466656446
Insertion-shifts,10,random,29.933333333333334,32.13333333333333,9.329400010453051e-06
Insertion-shifts,10,sorted,9,9,3.2284999861076357e-06
Insertion-shifts,10,reversed,45,54,8.10356668807799e-06
Insertion-shifts,100,random,2534.6,2539.0666666666666,0.0005144161666445749
Insertion-shifts,100,sorted,99,99,2.8128233338975406e-05
Insertion-shifts,100,reversed,4950,5049,0.0012222804000127023
Insertion-shifts,500,random,63223.2,63228.96666666667,0.011495813666670074
Insertion-shifts,500,sorted,499,499,9.363473336634342e-05
Insertion-shifts,500,reversed,124750,125249,0.020668461033324093
Insertion-shifts,700,random,123269.46666666666,123276.63333333333,0.02322765573332314
Insertion-shifts,700,sorted,699,699,0.0001925629999808128
Insertion-shifts,700,reversed,244650,245349,0.04697620946667484
